Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
174879,On Becoming a Person: A Therapist's View of Psychotherapy,Carl R. Rogers,"Rogers, Carl R.",Peter D. Kramer,"=""039575531X""","=""9780395755310""",0,4.15,Mariner Books,Paperback,448,1995,1961,,2013/03/20,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
193659,Lost Moon: The Perilous Voyage of Apollo 13,Jim Lovell,"Lovell, Jim","Jeffrey Kluger, Fred Sanders","=""0395670292""","=""9780395670293""",0,4.33,Houghton Mifflin,Hardcover,378,1994,1994,,2013/03/20,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
7757591,Gilliver's Travels In Lilliput,Andre Van Gool,"Gool, Andre Van",,"=""0886659019""","=""9780886659011""",3,4.15,,,,,,,2013/03/20,,,read,,,,1,,,0,,,,,
2696,The Canterbury Tales,Geoffrey Chaucer,"Chaucer, Geoffrey",Nevill Coghill,"=""0140424385""","=""9780140424386""",4,3.50,Penguin Books/Penguin Classics,Paperback,521,2003,1400,,2013/03/20,,,read,,,,1,,,0,,,,,
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",4,3.69,Penguin Books ,Paperback,182,1999,1954,,2013/03/20,,,read,,,,1,,,0,,,,,
8921,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,"Doyle, Arthur Conan",Anne Perry,"=""""","=""""",3,4.12,Signet,Mass Market Paperback,256,2001,1901,,2013/03/20,,,read,,,,1,,,0,,,,,
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",3,4.08,Random House: Modern Library,Paperback,272,2004,1890,,2013/03/20,,,read,,,,1,,,0,,,,,
35092,It Doesn't Take a Hero: The Autobiography of General H. Norman Schwarzkopf,Norman Schwarzkopf,"Schwarzkopf, Norman",Peter Petre,"=""0553563386""","=""9780553563382""",4,4.05,Bantam,Paperback,640,1993,1992,,2013/03/20,,,read,,,,1,,,0,,,,,
13585161,"Air Power: Heroes and Heroism in American Flight Missions, 1916 to Today: Heroes In American Flight Missions, 1916 To Today",Bill Gilbert,"Gilbert, Bill",,"=""0806524804""","=""9780806524801""",3,2.75,Citadel,Paperback,268,2004,2003,,2013/03/20,,,read,,,,1,,,0,,,,,
500820,Medal of Honor: Profiles of America's Military Heroes from the Civil War to the Present,Allen Mikaelian,"Mikaelian, Allen",Mike Wallace,"=""0786885769""","=""9780786885763""",3,3.85,Hachette Books,Paperback,300,2003,2002,,2013/03/20,,,read,,,,1,,,0,,,,,
139253,The House on Mango Street,Sandra Cisneros,"Cisneros, Sandra",,"=""0679734775""","=""9780679734772""",3,3.66,Vintage,Paperback,110,2009,1984,,2013/03/20,,,read,,,,1,,,0,,,,,
38840,Boyd: The Fighter Pilot Who Changed the Art of War,Robert Coram,"Coram, Robert",,"=""0316796883""","=""9780316796880""",4,4.14,Back Bay Books,Paperback,504,2004,2002,,2013/03/20,,,read,,,,1,,,0,,,,,
85443,The Lords of Discipline,Pat Conroy,"Conroy, Pat",,"=""0553271369""","=""9780553271362""",3,4.31,Bantam,Paperback,512,1997,1980,,2013/03/20,,,read,,,,1,,,0,,,,,
12296,The Scarlet Letter,Nathaniel Hawthorne,"Hawthorne, Nathaniel","Thomas E. Connolly, Nina Baym","=""0142437263""","=""9780142437261""",3,3.41,Penguin Books,Paperback,279,2003,1850,,2013/03/20,,,read,,,,1,,,0,,,,,
148926,"Ronald Reagan: Fate, Freedom, and the Making of History",John Patrick Diggins,"Diggins, John Patrick",,"=""0393060225""","=""9780393060225""",4,3.50,W. W. Norton  Company,Hardcover,528,2007,2006,,2013/03/20,,,read,,,,1,,,0,,,,,
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte","Michael Mason, Barnett Freedman","=""0142437204""","=""9780142437209""",4,4.13,Penguin,Paperback,532,2003,1847,,2013/03/20,,,read,,,,1,,,0,,,,,
18414,Utopia,Thomas More,"More, Thomas",Paul Turner,"=""0140449108""","=""9780140449105""",3,3.54,Penguin Classics,Paperback,163,2003,1516,,2013/03/20,,,read,,,,1,,,0,,,,,
139221,Legacy of Honor: The Values and Influence of America's Eagle Scouts,Alvin Townley,"Townley, Alvin",,"=""0312366531""","=""9780312366537""",4,4.28,St. Martins Press-3PL,Hardcover,304,2006,2006,,2013/03/20,,,read,,,,1,,,0,,,,,
51539,Rachel and Her Children: Homeless Families in America,Jonathan Kozol,"Kozol, Jonathan",,"=""0307345890""","=""9780307345899""",3,4.21,Broadway Books,Paperback,303,2006,1987,,2013/03/20,,,read,,,,1,,,0,,,,,
41918,There are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,"Kotlowitz, Alex",,"=""0385265565""","=""9780385265560""",3,4.28,Anchor Books,Paperback,323,1992,1991,,2013/03/20,,,read,,,,1,,,0,,,,,
4799,Cannery Row (Cannery Row #1),John Steinbeck,"Steinbeck, John",,"=""014200068X""","=""9780142000687""",4,4.04,Penguin Books,Paperback,181,2002,1945,,2013/03/20,,,read,,,,1,,,0,,,,,
684383,The Rhythm of Life: Living Every Day with Passion and Purpose,Matthew Kelly,"Kelly, Matthew",,"=""0743265254""","=""9780743265256""",3,4.24,Touchstone,Paperback,320,2005,1999,,2013/03/20,,,read,,,,1,,,0,,,,,
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",3,3.99,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,,2013/03/20,,,read,,,,1,,,0,,,,,
539282,Fences (The Century Cycle #6),August Wilson,"Wilson, August",,"=""0452264014""","=""9780452264014""",2,3.89,Plume Books,Paperback,101,1986,1986,,2013/03/20,,,read,,,,1,,,0,,,,,
12996,Othello,William Shakespeare,"Shakespeare, William",,"=""0743477553""","=""9780743477550""",3,3.90,Simon  Schuster,Paperback,314,2004,1603,,2013/03/20,,,read,,,,1,,,0,,,,,
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,"=""0767902890""","=""9780767902892""",3,4.13,Broadway Books,Paperback,246,1998,1990,,2013/03/20,,,read,,,,1,,,0,,,,,
2318271,The Last Lecture,Randy Pausch,"Pausch, Randy",Jeffrey Zaslow,"=""1401323251""","=""9781401323257""",5,4.26,Hachette Books,Hardcover,206,2008,2008,,2013/03/20,,,read,,,,1,,,0,,,,,
96099,The Seven Levels of Intimacy: The Art of Loving and the Joy of Being Loved,Matthew Kelly,"Kelly, Matthew",,"=""0743265122""","=""9780743265126""",3,4.10,Touchstone,Paperback,288,2007,2009,,2013/03/20,,,read,,,,1,,,0,,,,,
4395,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""""","=""""",4,3.97,Penguin Books,Paperback,455,2002,1939,,2013/03/20,,,read,,,,1,,,0,,,,,
96642,Rocket Boys (Coalwood #1),Homer Hickam,"Hickam, Homer",,"=""0385333218""","=""9780385333214""",5,4.16,Delta,Paperback,384,2000,1998,,2013/03/20,,,read,,,,1,,,0,,,,,
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",حسین نعیمی,"=""""","=""""",4,4.28,Harper Perennial Modern Classics ,Paperback,324,2006,1960,,2013/03/20,,,read,,,,1,,,0,,,,,
838232,Domers: A Year at Notre Dame,Kevin Coyne,"Coyne, Kevin",,"=""0140178988""","=""9780140178982""",4,3.87,Penguin Books,Paperback,336,1996,1995,,2013/03/20,,,read,,,,1,,,0,,,,,
247095,Making the Most of College: Students Speak Their Minds,Richard J. Light,"Light, Richard J.",,"=""067401359X""","=""9780674013599""",3,3.44,Harvard University Press,Paperback,256,2004,2001,,2013/03/20,,,read,,,,1,,,0,,,,,
